antecedentes,consecuentes,soporte antecedente,soporte consecuente,soporte,confianza,elevacion,representatividad,apalancamiento,conviccion,metrica_zhang,jaccard,certeza,kulczynski,cluster
frozenset({'Manzana Honeycrisp Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0228,0.1181,0.0063,0.2763157894736842,2.3396764561700607,1.0,0.00360732,1.2186254545454545,0.5859501393680682,0.0468053491827637,0.1794033217753534,0.1648302063371808,0
frozenset({'Zanahorias pequeñas orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0233,0.1181,0.005,0.2145922746781116,1.8170387356317663,1.0,0.00224827,1.1228562841530054,0.4603808743728883,0.0366568914956011,0.1094140771948198,0.1284646386091658,0
frozenset({'Espinacas tiernas orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0658,0.1181,0.0129,0.196048632218845,1.6600222880511857,1.0,0.00512902,1.0969568998109642,0.4256031359584705,0.075438596491228,0.0883871552543882,0.1526390493863065,0
frozenset({'Arándanos Orgánicos'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0303,0.1181,0.0069,0.2277227722772277,1.928219917673393,1.0,0.00332157,1.141947435897436,0.4964287475732072,0.0487632508833922,0.1243029507622493,0.1430739178913657,0
frozenset({'Pepino Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0223,0.1181,0.0061,0.273542600896861,2.3161947578057664,1.0,0.00346637,1.2139734567901237,0.5812185507304698,0.0454206999255398,0.176258760513506,0.1625968719979648,0
frozenset({'Ajo Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0344,0.1181,0.0064,0.1860465116279069,1.5753303270779593,1.0,0.00233736,1.0834771428571428,0.3782233844241922,0.0438056125941136,0.0770455965845413,0.1201189374396943,0
frozenset({'Aguacate Hass Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0588,0.1181,0.0158,0.2687074829931973,2.2752538780118314,1.0,0.00885572,1.205946976744186,0.5955042579631712,0.0980757293606455,0.170776145813808,0.2012462055101465,0
frozenset({'Manzana Fuji Orgánica Grande Extra Fancy'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0213,0.1181,0.007,0.3286384976525822,2.7827137819863013,1.0,0.00448447,1.313599300699301,0.6545811499219082,0.052870090634441,0.2387328468676519,0.1939551506044452,0
frozenset({'Limón Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.029,0.1181,0.0071,0.2448275862068965,2.073053227831469,1.0,0.0036751,1.1678127853881275,0.5330790095879085,0.0507142857142857,0.1436983628607512,0.1524730649070045,0
frozenset({'Frambuesas Orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0406,0.1181,0.0114,0.2807881773399015,2.3775459554606395,1.0,0.00660514,1.2262034246575342,0.6039172874859653,0.0773930753564154,0.1844746312959536,0.1886582715658017,0
frozenset({'Fresas Orgánicas'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0717,0.1181,0.0168,0.2343096234309623,1.983993424478936,1.0,0.00833223,1.151771038251366,0.5342734799402903,0.0971098265895953,0.1317718827882552,0.188280975983051,0
frozenset({'Leche entera orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0373,0.1181,0.0069,0.1849865951742627,1.5663555899598876,1.0,0.0024948699999999,1.0820680921052632,0.3755846705295944,0.0464646464646464,0.0758437409845364,0.1217058293398832,0
frozenset({'Cebolla Amarilla Orgánica'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0329,0.1181,0.0064,0.1945288753799392,1.6471538982213314,1.0,0.00251451,1.0948871698113207,0.406258078275256,0.0442600276625172,0.0866638795554362,0.1243601193157105,0
frozenset({'Calabacín Orgánico'}),frozenset({'Bolsa de Plátanos Orgánicos'}),0.0333,0.1181,0.0068,0.2042042042042041,1.7290787824234055,1.0,0.0028672699999999,1.1081988679245285,0.436182220897048,0.0470262793914246,0.0976348840052207,0.1308912638294518,0
frozenset({'Kirby de pepino'}),frozenset({'Banana'}),0.0332,0.1412,0.0086,0.2590361445783132,1.834533601829414,1.0,0.00391216,1.1590308943089431,0.4705237128479473,0.0518697225572979,0.1372102288988277,0.1599713300795249,0
frozenset({'Manzana crujiente con miel'}),frozenset({'Banana'}),0.0269,0.1412,0.0088,0.3271375464684015,2.316838147793212,1.0,0.00500172,1.2763381215469611,0.5840892742033428,0.0552416823603264,0.2165085543414083,0.1947302463220194,0
frozenset({'Limón grande'}),frozenset({'Banana'}),0.0466,0.1412,0.011,0.2360515021459227,1.6717528480589428,1.0,0.0044200799999999,1.1241595505617978,0.4214657589106927,0.0622171945701357,0.1104465558289738,0.1569775924327347,0
frozenset({'limas'}),frozenset({'Banana'}),0.0437,0.1412,0.0089,0.2036613272311212,1.4423606744413688,1.0,0.00272956,1.078435632183908,0.3207070321357949,0.0505681818181818,0.0727309352947383,0.1333462443521045,0
frozenset({'Aguacate Orgánico'}),frozenset({'Banana'}),0.0552,0.1412,0.0141,0.2554347826086957,1.8090282054440203,1.0,0.00630576,1.1534248175182482,0.4733457041454231,0.0773450356555128,0.1330167473319698,0.1776465697746028,0
frozenset({'Espinacas tiernas orgánicas'}),frozenset({'Banana'}),0.0658,0.1412,0.0115,0.1747720364741641,1.2377622979756668,1.0,0.00220904,1.0406821362799263,0.2056202470376886,0.0588235294117647,0.0390917984095996,0.1281083978404815,0
frozenset({'Arándanos Orgánicos'}),frozenset({'Banana'}),0.0303,0.1412,0.0056,0.1848184818481848,1.3089127609644815,1.0,0.0013216399999999,1.0535076923076925,0.2433816055039113,0.0337552742616033,0.0507900347556879,0.1122392692527043,0
frozenset({'Manzana Fuji orgánica'}),frozenset({'Banana'}),0.0268,0.1412,0.0097,0.3619402985074627,2.563316561667583,1.0,0.00591584,1.3459555555555556,0.626675310697836,0.0612760581174984,0.2570334169858671,0.2153185911800769,0
frozenset({'Ajo Orgánico'}),frozenset({'Banana'}),0.0344,0.1412,0.0053,0.1540697674418604,1.09114566176955,1.0,0.00044272,1.0152137457044674,0.0865079489143519,0.0311215502055196,0.0149857562201449,0.0958025891033664,0
frozenset({'Frambuesas Orgánicas'}),frozenset({'Banana'}),0.0406,0.1412,0.0062,0.1527093596059113,1.0815110453676442,1.0,0.00046728,1.0135837209302323,0.0785571627428433,0.0353075170842824,0.0134016762993844,0.0983093540239188,0
frozenset({'Fresas Orgánicas'}),frozenset({'Banana'}),0.0717,0.1412,0.0115,0.1603905160390516,1.1359101702482408,1.0,0.00137596,1.0228564784053156,0.1288901170442464,0.0571002979145978,0.0223457336272142,0.1209176376229252,0
frozenset({'Leche entera orgánica'}),frozenset({'Banana'}),0.0373,0.1412,0.0063,0.1689008042895442,1.196181333495356,1.0,0.00103324,1.0333303225806452,0.1703608073193614,0.0365853658536585,0.0322552448643971,0.1067591840144605,0
frozenset({'Calabacín Orgánico'}),frozenset({'Banana'}),0.0333,0.1412,0.0063,0.1891891891891891,1.3398667789602634,1.0,0.00159804,1.0591866666666667,0.2623948927869483,0.0374554102259215,0.0558793539697126,0.1169033764642829,0
frozenset({'Uvas rojas sin semillas'}),frozenset({'Banana'}),0.0257,0.1412,0.0075,0.291828793774319,2.066776159874781,1.0,0.00387116,1.212701098901099,0.5297697492216634,0.0470514429109159,0.1753944967097334,0.1724724705415504,0
frozenset({'Pomelo con agua con gas'}),frozenset({'Banana'}),0.0222,0.1412,0.0054,0.2432432432432432,1.722685858663196,1.0,0.00226536,1.134842857142857,0.429035703734006,0.0341772151898734,0.1188207303717318,0.1407434346527831,0
